Subject,Sex,Picture,CorrectAnswer,CR,Emotion,Stimulus1.RESP,Stimulus1.RT,Stimulus1.RTTime,Stimulus1.Duration
1,female,7150.jpg,a,different,neutral,,0,0,4000
1,female,8230.jpg,l,same,negative,,0,0,4000
1,female,7188.jpg,l,same,neutral,,0,0,4000
1,female,3001a.jpg,a,different,negative,,0,0,4000
1,female,2393.jpg,a,different,neutral,,0,0,4000
1,female,7042a.jpg,a,different,neutral,,0,0,4000
1,female,3053a.jpg,a,different,negative,,0,0,4000
1,female,2981.jpg,l,same,negative,,0,0,4000
1,female,2206.jpg,a,different,neutral,,0,0,4000
1,female,3059a.jpg,a,different,negative,,0,0,4000
1,female,1910.jpg,a,different,neutral,,0,0,4000
1,female,3069.jpg,l,same,negative,,0,0,4000
1,female,2352.jpg,a,different,negative,,0,0,4000
1,female,7080a.jpg,a,different,neutral,,0,0,4000
1,female,7100.jpg,a,different,neutral,,0,0,4000
1,female,3064.jpg,l,same,negative,,0,0,4000
1,female,3103.jpg,l,same,negative,,0,0,4000
1,female,7038a.jpg,a,different,neutral,,0,0,4000
1,female,7056.jpg,a,different,neutral,,0,0,4000
1,female,3062a.jpg,a,different,negative,,0,0,4000
1,female,7179.jpg,l,same,neutral,,0,0,4000
1,female,2730.jpg,a,different,negative,,0,0,4000
1,female,3063a.jpg,a,different,negative,,0,0,4000
1,female,2850a.jpg,a,different,neutral,,0,0,4000
1,female,2038.jpg,l,same,neutral,,0,0,4000
1,female,6838.jpg,a,different,negative,,0,0,4000
1,female,7052.jpg,a,different,neutral,,0,0,4000
1,female,2320.jpg,l,same,neutral,,0,0,4000
1,female,3071a.jpg,a,different,negative,,0,0,4000
1,female,2580.jpg,l,same,neutral,,0,0,4000
1,female,3000.jpg,a,different,negative,,0,0,4000
1,female,3110a.jpg,a,different,negative,,0,0,4000
1,female,7175a.jpg,a,different,neutral,,0,0,4000
1,female,9321.jpg,l,same,negative,,0,0,4000
1,female,9433.jpg,l,same,negative,,0,0,4000
1,female,7187.jpg,a,different,neutral,,0,0,4000
1,female,7493a.jpg,a,different,neutral,,0,0,4000
1,female,3010.jpg,a,different,negative,,0,0,4000
1,female,3130.jpg,l,same,negative,,0,0,4000
1,female,7011.jpg,l,same,neutral,,0,0,4000
1,female,3150a.jpg,a,different,negative,,0,0,4000
1,female,2880a.jpg,a,different,neutral,,0,0,4000
1,female,3068.jpg,a,different,negative,,0,0,4000
1,female,3080.jpg,a,different,negative,,0,0,4000
1,female,7034a.jpg,a,different,neutral,,0,0,4000
